model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
21/22년 BMW 420i 컨버터블(휘),IMPORTED,1768,3649.95,14662125.0,0,152.08124999999998,0.08601880656108596,453000.0,453000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,14209125.0,0.969104069157779
26년 레이(휘),URBAN,1079,9487.7,13854325.0,10,395.3208333333334,0.36637704664813103,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,13854325.0,1.0
21년 K5(휘),MIDSIZE,5880,8814.083333333334,13763640.0,0,367.25347222222223,0.062458073507180654,251867.0,251867.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,13511773.0,0.981700553051373
23년 4세대 쏘렌토(5인/휘),SUV,1764,5682.366666666667,13225777.0,4,236.76527777777778,0.1342206790123457,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,13225777.0,1.0
21년 K3(휘),COMPACT,5880,11443.3,14055720.0,0,476.8041666666666,0.0810891439909297,1392170.0,1392170.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,12663550.0,0.9009534908208189
26년 EV4(전기),EV,744,3862.75,12275508.0,0,160.94791666666666,0.21632784498207885,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,12275508.0,1.0
21년 GV80(5인/휘),SUV,1764,3970.4666666666667,12242715.0,2,165.4361111111111,0.09378464348702444,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,12242715.0,1.0
21년 머스탱 컨버터블(휘),IMPORTED,1326,3012.7166666666667,12032895.0,4,125.52986111111112,0.09466807021954081,260000.0,260000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,11772895.0,0.9783925647153074
22년 볼보 XC40(휘),IMPORTED,1176,3152.4166666666665,11492615.0,28,131.35069444444443,0.11169276738473166,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,11492615.0,1.0
21년 QM6(휘),SUV,1764,5215.5,11259160.0,5,217.3125,0.12319302721088435,62260.0,62260.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,11196900.0,0.9944702801985228
